userId,username,password,name,age,lastLogin
101,tenant,tenant,yuwei,21,6-8-2023
102,johnDoe,pass123,John Doe,30,5-8-2023
103,janeSmith,smith789,Jane Smith,25,4-8-2023
104,mikeJohnson,mike123,Mike Johnson,28,3-8-2023
105,amyWilliams,amy456,Amy Williams,22,2-8-2023
106,davidBrown,brown789,David Brown,32,1-8-2023
107,lisaDavis,lisa567,Lisa Davis,29,31-7-2023
108,kevinWilson,wilson123,Kevin Wilson,27,30-7-2023
109,sarahMiller,sarah789,Sarah Miller,24,29-7-2023
110,alexAnderson,alex456,Alex Anderson,26,28-7-2023
